temporada,modalidad,ruta,actividad,categoria,asistencia,moneda,precio,vigencia_dias,fuente,url
2026-27,preventa (14-30 sep 2026),Horcones,Ascenso,Mendocino,con asistencia,ARS,300000,20,Resolución DAP 581/2026 art. 4,https://boe.mendoza.gov.ar/default/public/publico/verpdf/32678
2026-27,preventa (14-30 sep 2026),Horcones,Ascenso,Argentino,con asistencia,ARS,450000,20,Resolución DAP 581/2026 art. 4,https://boe.mendoza.gov.ar/default/public/publico/verpdf/32678
2026-27,preventa (14-30 sep 2026),Horcones,Ascenso,Extranjero (incluye latinoamericanos),con asistencia,USD,950,20,Resolución DAP 581/2026 art. 4,https://boe.mendoza.gov.ar/default/public/publico/verpdf/32678
2026-27,preventa (14-30 sep 2026),Horcones,Trekking largo,Mendocino,con asistencia,ARS,85000,7,Resolución DAP 581/2026 art. 4,https://boe.mendoza.gov.ar/default/public/publico/verpdf/32678
2026-27,preventa (14-30 sep 2026),Horcones,Trekking largo,Argentino,con asistencia,ARS,130000,7,Resolución DAP 581/2026 art. 4,https://boe.mendoza.gov.ar/default/public/publico/verpdf/32678
2026-27,preventa (14-30 sep 2026),Horcones,Trekking largo,Extranjero (incluye latinoamericanos),con asistencia,USD,450,7,Resolución DAP 581/2026 art. 4,https://boe.mendoza.gov.ar/default/public/publico/verpdf/32678
2026-27,preventa (14-30 sep 2026),Vacas / 360,Ascenso,Mendocino,con asistencia,ARS,340000,20,Resolución DAP 581/2026 art. 4,https://boe.mendoza.gov.ar/default/public/publico/verpdf/32678
2026-27,preventa (14-30 sep 2026),Vacas / 360,Ascenso,Argentino,con asistencia,ARS,490000,20,Resolución DAP 581/2026 art. 4,https://boe.mendoza.gov.ar/default/public/publico/verpdf/32678
2026-27,preventa (14-30 sep 2026),Vacas / 360,Ascenso,Extranjero (incluye latinoamericanos),con asistencia,USD,1290,20,Resolución DAP 581/2026 art. 4,https://boe.mendoza.gov.ar/default/public/publico/verpdf/32678
2025-26,normal,Horcones,Ascenso,Mendocino,con asistencia,ARS,100000,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Horcones,Ascenso,Argentino/residente,con asistencia,ARS,190000,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Horcones,Ascenso,Latinoamericano,con asistencia,USD,910,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Horcones,Ascenso,Extranjero,con asistencia,USD,1170,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
