orden,punto,tipo,altura_usada_m,altura_min_fuentes_m,altura_max_fuentes_m,desde_punto_anterior,distancia_km,desnivel_m,tiempo_tipico_h,se_duerme,guardaparques,servicio_medico,empresas_domos,banos,agua,internet,helipuerto,notas,fuente_principal
1,Penitentes,pueblo,2500,2400,2580,Mendoza (165 km),,,,si,no,no,bases logisticas,hotel,red,si,no,"Hoteles; bases logísticas de las empresas; dejar el auto",https://revistadigital.culturademontania.org.ar/articulo/64bd7ad2d6d124d5cec427a5
2,Horcones (entrada del parque),entrada,2950,2800,2950,Penitentes (~6 km),6,,0.2,no,si,no,no,si,no,no,si,"No se venden ni entregan permisos; bolsas de residuos",https://sitios.mendoza.gob.ar/energiayambiente/aconcagua/
3,Confluencia,campamento de aproximacion,3390,3300,3400,Horcones,8.5-9,400-500,3-4,si,si (registro),si (control obligatorio),si,obligatorio (empresas),potable de empresas,wifi empresas,no,"No se vende comida (sitio oficial)",https://www.theuiaa.org/mountain-medicine/aconcagua/
4,Mirador Plaza Francia,aclimatacion (ida y vuelta),4000,4000,4200,Confluencia,,600,5 (ida y vuelta),no,no,no,no,no,arroyos,no,no,"Vista de la Pared Sur",https://www.theuiaa.org/mountain-medicine/aconcagua/
5,Plaza de Mulas,campamento base,4300,4260,4370,Confluencia,18-20,900-1000,7-9,si,si (registro),si (control obligatorio antes de subir),si (11 concesionarias),obligatorio (empresas),potable de empresas,wifi/Starlink empresas,si,"Patrulla de Rescate; ex hotel cerrado; traslado del campamento pendiente",https://www.theuiaa.org/mountain-medicine/aconcagua/
6,Cerro Bonete,aclimatacion (ida y vuelta),5004,5004,5052,Plaza de Mulas,7.8 (ida y vuelta),741,4-6.5 (ida y vuelta),no,no,no,no,no,no,no,no,"Vista de la cara oeste",https://www.outdooractive.com/es/route/senderismo-de-montana/anden/de-plaza-de-mulas-al-cerro-bonete-5.052-m/804403196/
7,Plaza Canada (Campo 1),campamento de altura,5000,4800,5050,Plaza de Mulas,3.1,700,3-4,si,no,no,domos de algunas empresas,bolsas obligatorias,arroyo o nieve (puede secarse),no,no,"Subir agua desde Plaza de Mulas en dias de sol",https://www.theuiaa.org/mountain-medicine/aconcagua/
8,Cambio de Pendiente,punto de paso,5250,5200,5300,Plaza Canada,,250-400,1.5-2,casi nunca,no,no,no,no,escasa,no,no,"Expuesto al viento",https://revistadigital.culturademontania.org.ar/articulo/64bd7ad2d6d124d5cec427a5
9,Nido de Condores (Campo 2),campamento de altura,5450,5300,5580,Plaza Canada,3.1,450,2.5-4,si (2+ noches),si (casilla),si (puesto medico),si,bolsas obligatorias,nieve o laguna (tratar),wifi empresas solo con sol,si (5450 m; una persona; solo con tiempo excelente),"Muy expuesto al viento; refugio de la Patrulla de Rescate",https://www.theuiaa.org/mountain-medicine/aconcagua/
10,Berlin,campamento de altura,5930,5850,5940,Nido de Condores,3.1,450-550,2-4,poco usado,no,no,no,bolsas obligatorias,nieve contaminada (tratar),no,no,"Tres refugios de madera inutilizables; 40-50 carpas",https://www.theuiaa.org/mountain-medicine/aconcagua/
11,Colera (Campo 3),campamento de altura,5970,5960,6000,Berlin (10-15 min) / Nido (3-4 h),,520,3-4 desde Nido,si,no,no,domos de algunas empresas,bolsas obligatorias,nieve,a veces,no,"Refugio Elena solo para emergencias; cables fijos entre Berlin y Colera; muy ventoso",https://www.theuiaa.org/mountain-medicine/aconcagua/
12,Refugio Independencia,punto de paso,6380,6370,6400,Colera,,410,3,no,no,no,no,no,no,no,no,"Ruina; primer punto para decidir volver",https://www.theuiaa.org/mountain-medicine/aconcagua/
13,La Cueva,punto de paso,6650,6600,6700,Independencia (Travesia),,270,2-3,no,no,no,no,no,no,no,no,"Reparo del viento; inicio de la Canaleta",https://www.theuiaa.org/mountain-medicine/aconcagua/
14,Cumbre,cumbre,6962,6959,6962,La Cueva (Canaleta),,312,2-3,no,no,no,no,no,no,no,no,"Cota oficial IGM 6962 m; estar antes de las 14:00",https://revistadigital.culturademontania.org.ar/articulo/64bd7ad2d6d124d5cec427a5
