opcion,tipo,altura_cubierta,rescate_evacuacion,gastos_medicos,disponible_para_residentes_en_chile,precio_aprox,veredicto,fuente
American Alpine Club - Leader,membresía con cobertura Redpoint,todas las alturas (excluye zonas polares),USD 7.500 rescate + USD 300.000 traslado médico al país de origen,USD 5.000 por accidente de escalada,sí (miembros internacionales desde nivel Partner),USD 250 al año,recomendado (confirmar aceptación con la empresa),https://americanalpineclub.org/rescue
American Alpine Club - Partner,membresía con cobertura Redpoint,todas las alturas (excluye zonas polares),USD 7.500 rescate,USD 5.000 por accidente de escalada,sí,USD 130-140 al año con dirección fuera de EE.UU.,aceptable si el tope alcanza,https://americanalpineclub.org/faq
Global Rescue + paquete Alta Montaña,membresía de rescate (no es seguro),sobre 4.600 m solo con el paquete; helicóptero hasta ~7.010 m,rescate y traslado al hospital elegido en el país de origen,no,sí (cualquier nacionalidad),membresía 7/14/30 días desde USD 139 + USD 495 paquete,alternativa (sumar seguro médico),https://www.globalrescue.com/lp/high-altitude-travel-evacuation/
Alpenverein Austria (ÖAV) - AWS,seguro incluido en la membresía,excluye viajes con cumbres de más de 6.000 m,EUR 25.000 (fuera de la exclusión),EUR 10.000,depende de la sección,cuota anual de la sección,no sirve para el Aconcagua,https://www.alpenverein.at/portal_wAssets/docs/service/versicherung/AWS-Folder_E_2023_ebook.pdf
DAV Expeditionsversicherung,seguro de expedición,sin límite (incluye más de 7.000 m),EUR 50.000,sí,no (exige residencia permanente en Alemania),—,no aplica,https://www.alpenverein.de/verband/services/versicherungen-im-dav/expeditionsversicherung
World Nomads (resto del mundo),seguro de viaje,senderismo hasta 6.000 m; excluye escalada sobre 6.000 m,evacuación médica,sí,depende del país (cotizar),—,cumple el mínimo del parque pero no cubre Cólera ni la cumbre,https://www.worldnomads.com/row/travel-insurance/activities/hiking-travel-insurance
IATI Mochilero,seguro de viaje (España),trekking hasta 5.400 m,hasta EUR 15.000,sí,pensado para España,—,no llega a 5.500 m,https://www.iatiseguros.com/seguros-viaje/21841/seguro-de-viaje-mochilero/
Assist Card vía Isapre Colmena,asistencia en viaje,senderismo hasta 3.000 m,dentro de esos límites,sí,sí,UF 3.8-10 al año por grupo familiar (precios publicados en 2022),no para la montaña; sí para el resto del viaje,https://www.colmena.cl/contrata-asistencia-en-viaje-internacional/
Isapre Colmena - cobertura internacional del plan,reembolso del plan de salud,—,no,reembolso según arancel del plan,solo si el plan la incluye,incluido en el plan,complemento para hospital,https://www.colmena.cl/cobertura-internacional/
Fonasa,sistema público chileno,—,no,no encontrada para Argentina,—,—,no sirve (confirmar con Fonasa),
