empresa,carpeta,contacto,canal,fecha_respuesta,estado,paquete,dias_pension_completa,precio_usd_por_persona,precio_regular_usd_por_persona,precio_valido_hasta,permiso_incluido,total_con_permiso_preventa_usd_por_persona,total_dos_personas_usd,mulas_kg_por_persona,duchas,wifi_campo_base,traslado_penitentes_horcones,extras_cotizados,deposito,pago_y_recargos,seguro_evacuacion_exigido,seguro_se_entrega,acepta_aac,ultimo_ingreso_segun_empresa,estacionamiento,fuente,cubre_plan_7_noches
Aconcagua Visión,cotizaciones/aconcagua-vision,Sabrina Recchimuzzi (comercial),email + WhatsApp,2026-09-20,respondió; se corrigió el 20/09: el permiso NO está incluido,Básico 4 días,4 (a repartir; cada noche en su campamento cuenta como pensión),2830,,paquete hasta el 10/10/2026; permiso USD 950 hasta el 30/09,no (corregido el 20/09),3780,7560,"35 (extra USD 8/kg a Confluencia, USD 21/kg a Plaza de Mulas)",sí (agua caliente),sí,no (según su web),Pensión extra USD 390 por noche; Básico 7 días USD 3.520; campamentos de altura USD 600 con carpa prestada; solo baños de altura USD 150,30 % hasta el 10/10; saldo hasta 20 días antes,"USD a cuenta argentina; factura por cada pago; cancelación con reintegro: 60 % a 25 días, 100 % a 10 días o menos",helicóptero hasta 5.500 m,"antes del ingreso al parque, según ellos (permiso nominado)",piden copia para revisar,15 de febrero,entrada del parque (Horcones),emails 18 y 20/09/2026,no: cada noche en el campamento es una pensión (usar el de 7 días)
Aconcagua Visión,cotizaciones/aconcagua-vision,Sabrina Recchimuzzi (comercial),email + WhatsApp,2026-09-20,respondió; se corrigió el 20/09: el permiso NO está incluido,Básico 7 días,7 (a repartir),3520,,paquete hasta el 10/10/2026; permiso USD 950 hasta el 30/09,no (corregido el 20/09),4470,8940,"35 (extra USD 8/kg a Confluencia, USD 21/kg a Plaza de Mulas)",sí (agua caliente),sí,no (según su web),Campamentos de altura USD 600 con carpa prestada; solo baños de altura USD 150,30 % hasta el 10/10; saldo hasta 20 días antes,"USD a cuenta argentina; factura por cada pago; cancelación con reintegro: 60 % a 25 días, 100 % a 10 días o menos",helicóptero hasta 5.500 m,"antes del ingreso al parque, según ellos (permiso nominado)",piden copia para revisar,15 de febrero,entrada del parque (Horcones),emails 18 y 20/09/2026,sí
Aconcagua Pared Sur,cotizaciones/pared-sur,Román Ruberti Godoy (email) y Javier (WhatsApp),WhatsApp (catálogo PDF),2026-09-21,respondió por WhatsApp; Vlad pidió avanzar el 21/09,Pre-Venta Básico,4,1600,2295,«pagá 90 días antes» (sin fecha),no,2550,5100,30 (reconfirmado el 21/09; kilo extra sin precio),no,sí,no,Pre-Venta Básico + Altura USD 2.100 (4 noches domo compartido en Nido o Berlín); seguro propio USD 400 (cobertura no informada),anticipo (monto no indicado),USD al «dólar blue del día»; IVA aparte si hay factura; costos bancarios del cliente,propio USD 400: «cubre lo requerido por el parque» (compañía y altura no informadas); catálogo: 4.500 m,no indicado,no respondido,no indicado,no indicado,catálogo «Tarifas Mayoristas» 2026-27 + WhatsApp 19 y 21/09/2026,sin respuesta sobre las otras ~3 noches (Básico Long 7 días USD 2.882 sin precio de preventa)
Aconcagua Pared Sur,cotizaciones/pared-sur,Román Ruberti Godoy (email) y Javier (WhatsApp),WhatsApp (catálogo PDF),2026-09-21,respondió por WhatsApp; Vlad pidió avanzar el 21/09,Pre-Venta Básico + Altura,4 + 4 noches domo de altura,2100,,«pagá 90 días antes» (sin fecha),no,3050,6100,30 (reconfirmado el 21/09; kilo extra sin precio),no,sí,no,—,anticipo (monto no indicado),USD al «dólar blue del día»; IVA aparte si hay factura; costos bancarios del cliente,propio USD 400: «cubre lo requerido por el parque» (compañía y altura no informadas); catálogo: 4.500 m,no indicado,no respondido,no indicado,no indicado,catálogo «Tarifas Mayoristas» 2026-27 + WhatsApp 19 y 21/09/2026,sin respuesta sobre las otras ~3 noches (Básico Long 7 días USD 2.882 sin precio de preventa)
Lanko Altas Montañas,cotizaciones/lanko,Valentina Diaz,email,2026-09-20,respondió,Programa Básico Corto,4 (1 Confluencia + 3 Plaza de Mulas),2430,2700,no indicado (10 % de descuento ofrecido),no,3380,6760,35 (extienden a 40 sin costo),no (USD 30 c/u o USD 50 por 3),no (USD 100 por la estadía),sí (ida y vuelta),Porteo en altura: consultar,"10 % del paquete, no reembolsable (crédito para la próxima temporada)",USD 17 por transferencia bancaria,6.000 m (antes dijeron 5.400 m),antes del inicio de la expedición; documentos de preventa hasta el 28/09,con una nota firmada que certifique la cobertura,«usualmente» 15 de febrero (fechas 2026-27 no anunciadas),Penitentes o entrada de Horcones,emails 18 y 20/09/2026,no (Lanko propone el Básico Estándar)
Lanko Altas Montañas,cotizaciones/lanko,Valentina Diaz,email,2026-09-20,respondió,Programa Básico Estándar,"7 (2 Confluencia + 5 Plaza de Mulas, con domo; a repartir)",3051,3390,no indicado (10 % de descuento ofrecido),no,4001,8002,35 (extienden a 40 sin costo),no (USD 30 c/u o USD 50 por 3),no (USD 100 por la estadía),sí (ida y vuelta),Wifi USD 100; duchas USD 30 c/u o USD 50 por 3; porteo en altura: consultar,"10 % del paquete, no reembolsable (crédito para la próxima temporada)",USD 17 por transferencia bancaria,6.000 m (antes dijeron 5.400 m),antes del inicio de la expedición; documentos de preventa hasta el 28/09,con una nota firmada que certifique la cobertura,«usualmente» 15 de febrero (fechas 2026-27 no anunciadas),Penitentes o entrada de Horcones,emails 18 y 20/09/2026,sí
Inka Expediciones,cotizaciones/inka,Esperanza Lara,email,2026-09-18,respondió; sin respuesta al seguimiento del 19/09,Soporte Logístico Básico 4 días,4,2700,3500,30/09/2026,no,3650,7300,35 (no venden kg extra),no (solo en Full),no (solo en Full),no indicado,Básico 7 días USD 3.390; Full 4 días USD 3.240,USD 150 por persona no reembolsable (Stripe),transferencia internacional; costos bancarios del cliente,helicóptero hasta 5.000 m + seguro de viaje,con los documentos: hasta el 30/09 (depósito y pago del permiso hasta el 25/09),«hemos recibido anteriormente» montañistas con AAC,no indicado (permiso de 20 días),Penitentes «no es recomendable»,email 18/09/2026,sin respuesta
Inka Expediciones,cotizaciones/inka,Esperanza Lara,email,2026-09-18,respondió; sin respuesta al seguimiento del 19/09,Soporte Logístico Básico 7 días,7,3390,,30/09/2026,no,4340,8680,35 (no venden kg extra),no (solo en Full),no (solo en Full),no indicado,,USD 150 por persona no reembolsable (Stripe),transferencia internacional; costos bancarios del cliente,helicóptero hasta 5.000 m + seguro de viaje,con los documentos: hasta el 30/09 (depósito y pago del permiso hasta el 25/09),«hemos recibido anteriormente» montañistas con AAC,no indicado (permiso de 20 días),Penitentes «no es recomendable»,email 18/09/2026,sí
Fernando Grajales Expeditions,cotizaciones/grajales,Laura Cardon (reservas),email,2026-09-21,respondió,Básico 4 días,4,2830,,no indicado,no,3780,7560,35 estimativos (sin cargo si no se exceden por mucho; bolsos de máx. 20 kg),sí,sí,sí (privado),Pensión extra USD 345 Plaza de Mulas / USD 228 Confluencia; baños de altura USD 150; Básico 7 días USD 3.520,"USD 400 por persona no reembolsable, se descuenta (WeTravel); saldo en 2 cuotas a 60 y 30 días",no indicado,cobertura sobre 6.000 m hasta 7.000 m con evacuación aérea hasta 5.400 m,"con el permiso, antes del 30/09 con margen",lo revisan después de reservar; probablemente pidan póliza o comprobante,10 de febrero «no habría problema»,estacionamiento de Horcones,emails 18 y 21/09/2026 + PDF paquetes 2026-27,no (diseñado para 4 días en campamento)
Fernando Grajales Expeditions,cotizaciones/grajales,Laura Cardon (reservas),email,2026-09-21,respondió,Básico 7 días,7 (a repartir),3520,,no indicado,no,4470,8940,35 estimativos (sin cargo si no se exceden por mucho; bolsos de máx. 20 kg),sí,sí,sí (privado),Baños de altura USD 150,"USD 400 por persona no reembolsable, se descuenta (WeTravel); saldo en 2 cuotas a 60 y 30 días",no indicado,cobertura sobre 6.000 m hasta 7.000 m con evacuación aérea hasta 5.400 m,"con el permiso, antes del 30/09 con margen",lo revisan después de reservar; probablemente pidan póliza o comprobante,10 de febrero «no habría problema»,estacionamiento de Horcones,emails 18 y 21/09/2026 + PDF paquetes 2026-27,sí
